ID~Category~RID~Roi~Semester~Tmima~Subject~TM~ΚΜ ~EM~Theory Hours~Applied Hours~Lab Hours~Sum Hours~Wordload~ECTS~Passed
1~~~~1~~Μαθηματική Ανάλυση Ι ~ΜΥ ~~Υ ~3~2~~5~125~5~0
2~~~~1~~Γραμμική Άλγεβρα ~ΜΥ ~~Υ ~2~2~~4~100~4~0
3~~~~1~~Εισαγωγή στην Επιστήμη των Υπολογιστών ~ΜΥ ~~Υ ~3~2~~5~125~5~0
4~~~~1~~Προγραμματισμός Υπολογιστών ~ΜΥ, ΜΑΔ ~~Υ ~3~2~1~6~150~6~0
5~~~~1~~Διακριτά Μαθηματικά ~ΜΥ ~~Υ ~2~2~~4~125~5~0
6~~~~1~~Φυσική ~ΜΥ ~~Υ ~2~2~~4~125~5~0
7~~~~2~~Σχεδίαση και Ανάλυση Αλγορίθμων ~ΜΥ ~~Υ ~2~2~~4~125~5~0
8~~~~2~~Πιθανότητες και Στατιστική ~ΜΥ ~~Υ ~2~2~~4~100~4~0
9~~~~2~~Μαθηματική Ανάλυση ΙΙ ~ΜΥ ~~Υ ~2~2~~4~125~5~0
10~~~~2~~Αντικειμενοστρεφής Προγραμματισμός ~ΜΥ, ΜΑΔ ~~Υ ~3~2~1~6~150~6~0
11~~~~2~~Ψηφιακή Σχεδίαση ~ΜΥ ~~Υ ~2~1~1~4~125~5~0
12~~~~2~~Θεωρία Κυκλωμάτων ~ΜΥ, ΜΑΔ ~~Υ ~3~2~1~6~125~5~0
13~~~~3~~Αλγόριθμοι και Πολυπλοκότητα ~ΜΥ ~~Υ ~2~2~~4~125~5~0
14~~~~3~~Ηλεκτρονική ~ΜΥ ~~Υ ~3~1~1~5~125~5~0
15~~~~3~~Δομές Δεδομένων ~ΜΥ, ΜΑΔ ~~Υ ~3~1~1~5~125~5~0
16~~~~3~~Δίκτυα Υπολογιστών Ι ~ΜΥ, ΜΑΔ ~~Υ ~2~1~1~4~125~5~0
17~~~~3~~Λειτουργικά Συστήματα Ι ~ΜΥ, ΜΕΠ ~~Υ ~2~1~1~4~125~5~0
18~~~~3~~Αρχιτεκτονική Υπολογιστών ~ΜΥ, ΜΕΠ ~~Υ ~2~2~1~5~125~5~0
19~~~~4~~Βάσεις Δεδομένων Ι ~ΜΥ, ΜΕΠ, ΜΑΔ ~~Υ ~3~~1~4~125~5~0
20~~~~4~~Δίκτυα Υπολογιστών ΙΙ ~ΜΕΠ, ΜΑΔ ~~Υ ~2~1~1~4~100~4~0
21~~~~4~~Λειτουργικά Συστήματα ΙΙ ~ΜΕΠ, ΜΑΔ ~~Υ ~2~1~1~4~100~4~0
22~~~~4~~Μεθοδολογίες Ανάπτυξης Εφαρμογών ~ΜΕΠ, ΜΑΔ ~~Υ ~3~~2~5~125~5~0
23~~~~4~~Σχεδίαση Ψηφιακών Συστημάτων ~ΜΕΠ, ΜΑΔ ~~Υ ~3~~1~4~125~5~0
24~~~~4~~Σήματα και Συστήματα ~ΜΥ, ΜΕΠ ~~Υ ~2~1~1~4~125~5~0
25~~~~4~~Σύνταξη Τεχνικών Κειμένων ~ΜΥ, ΜΑΔ ~~Υ ~2~~~2~50~2~0
26~~~~5~~Βάσεις Δεδομένων ΙΙ ~ΜΕΠ, ΜΑΔ ~~Υ ~3~~1~4~125~5~0
27~~~~5~~Δικτυακός Προγραμματισμός ~ΜΕΠ, ΜΑΔ ~~Υ ~3~~2~5~125~5~0
28~~~~5~~Ανάλυση και Σχεδιασμός Πληροφοριακών Συστημάτων ~ΜΕΠ, ΜΑΔ ~~Υ ~2~2~1~5~125~5~0
29~~~~5~~Τεχνητή Νοημοσύνη ~ΜΕΠ, ΜΑΔ ~~Υ ~2~1~1~4~125~5~0
30~~~~5~~Ψηφιακή Επεξεργασία Σήματος ~ΜΥ, ΜΕΠ ~~Υ ~2~1~1~4~125~5~0
31~~~~5~~Εισαγωγή στον Παράλληλο Υπολογισμό ~ΜΕΠ, ΜΑΔ ~~Υ ~2~1~1~4~125~5~0
32~~~~6~~Τεχνολογία Λογισμικού ~ΜΕΠ, ΜΑΔ ~~Υ ~3~~1~4~125~5~0
33~~~~6~~Ασφάλεια στην Τεχνολογία της Πληροφορίας ~ΜΕΠ, ΜΑΔ ~~Υ ~3~~1~4~125~5~0
34~~~~6~~Μεταγλωττιστές ~ΜΕΠ, ΜΑΔ ~~Υ ~2~1~1~4~125~5~0
35~~~~6~~Μικροηλεκτρονική ~ΜΕΠ, ΜΑΔ ~~Υ ~3~~1~4~125~5~0
36~~~~6~~Κατανεμημένα Συστήματα ~ΜΕΠ, ΜΑΔ ~~Υ ~2~1~1~4~125~5~0
37~~~~6~~Ψηφιακές Επικοινωνίες ~ΜΕΠ, ΜΑΔ ~~Υ ~2~1~1~4~125~5~0
38~~~~7~~Τεχνολογία Υπολογιστικών Συστημάτων ~ΜΕΠ, ΜΑΔ ~~Υ ~2~~2~4~125~5~0
39~~~~7~~Θεωρία Υπολογισμού ~ΜΥ, ΜΕΠ ~~Υ ~3~1~~4~125~5~0
40~~1~Ροή Λογισμικού και Πληροφοριακών Συστημάτων ~7~~Σχεδιασμός και Ανάπτυξη Πληροφοριακών Συστημάτων ~ΜΕΠ, ΜΑΔ ~~ΒΡ ~2~2~1~5~125~5~0
41~~1~Ροή Λογισμικού και Πληροφοριακών Συστημάτων ~7~~Ανάκτηση Πληροφορίας ~ΜΕΠ, ΜΑΔ ~~ΒΡ ~3~~1~4~125~5~0
42~~2~Ροή Υλικού και Υπολογιστικών Συστημάτων ~7~~Μικροϋπολογιστές ~ΜΕΠ, ΜΑΔ ~~ΒΡ ~2~1~1~4~125~5~0
43~~2~Ροή Υλικού και Υπολογιστικών Συστημάτων ~7~~Σχεδίαση Συστημάτων με Χρήση Υπολογιστή ~ΜΕΠ, ΜΑΔ ~~ΒΡ ~2~1~1~4~125~5~0
44~~3~Ροή Δικτύων Υπολογιστών και Επικοινωνιών ~7~~Προηγμένες Δικτυακές Τεχνολογίες ~ΜΕΠ, ΜΑΔ ~~ΒΡ ~2~1~1~4~125~5~0
45~~3~Ροή Δικτύων Υπολογιστών και Επικοινωνιών ~7~~Ασφάλεια Δικτύων και Επικοινωνιών ~ΜΕΠ, ΜΑΔ ~~ΒΡ ~2~1~1~4~125~5~0
46~~1~Ροή Λογισμικού και Πληροφοριακών Συστημάτων ~8~~Αλληλεπίδραση Ανθρώπου-Υπολογιστή ~ΜΕΠ, ΜΑΔ ~ΜΕ ~ΒΡ ~2~1~1~4~125~5~0
47~~1~Ροή Λογισμικού και Πληροφοριακών Συστημάτων ~8~~Γραφικά Υπολογιστών ~ΜΕΠ, ΜΑΔ ~ΜΕ ~ΒΡ ~2~1~1~4~125~5~0
48~~2~Ροή Υλικού και Υπολογιστικών Συστημάτων ~8~~Αυτόματος Έλεγχος Συστημάτων ~ΜΕΠ, ΜΑΔ ~ΜΕ ~ΒΡ ~2~1~1~4~125~5~0
49~~2~Ροή Υλικού και Υπολογιστικών Συστημάτων ~8~~Προηγμένη Αρχιτεκτονική Υπολογιστών ~ΜΕΠ, ΜΑΔ ~ΜΕ ~ΒΡ ~2~1~1~4~125~5~0
50~~3~Ροή Δικτύων Υπολογιστών και Επικοινωνιών ~8~~Δίκτυα Κινητών Επικοινωνιών ~ΜΕΠ, ΜΑΔ ~ΜΕ ~ΒΡ ~3~~1~4~125~5~0
51~~3~Ροή Δικτύων Υπολογιστών και Επικοινωνιών ~8~~Υπολογιστική Νέφους και Υπηρεσίες ~ΜΕΠ, ΜΑΔ ~ΜΕ ~ΒΡ ~2~1~1~4~125~5~0
52~~1~Ροή Λογισμικού και Πληροφοριακών Συστημάτων (Χειμερινό Εξάμηνο) ~9~~Αναγνώριση Προτύπων και Μηχανική Μάθηση ~ΜΕΠ, ΜΑΔ ~~ΕΥ ~3~~1~4~125~5~0
53~~1~Ροή Λογισμικού και Πληροφοριακών Συστημάτων (Χειμερινό Εξάμηνο) ~9~~Διαχείριση Γνώσης ~ΜΕΠ, ΜΑΔ ~~ΕΥ ~3~1~~4~125~5~0
54~~1~Ροή Λογισμικού και Πληροφοριακών Συστημάτων (Χειμερινό Εξάμηνο) ~7,9~~Ειδικά Θέματα Τεχνολογίας Λογισμικού ~ΜΕΠ, ΜΑΔ ~~ΕΥ ~2~~2~4~125~5~0
55~~1~Ροή Λογισμικού και Πληροφοριακών Συστημάτων (Χειμερινό Εξάμηνο) ~7~~Εξόρυξη Δεδομένων ~ΜΕΠ, ΜΑΔ ~~ΕΥ ~3~1~~4~125~5~0
56~~1~Ροή Λογισμικού και Πληροφοριακών Συστημάτων (Χειμερινό Εξάμηνο) ~7~~Επεξεργασία Εικόνας ~ΜΕΠ, ΜΑΔ ~~ΕΥ ~3~~1~4~125~5~0
57~~1~Ροή Λογισμικού και Πληροφοριακών Συστημάτων (Χειμερινό Εξάμηνο) ~7,9~~Επιχειρησιακή Έρευνα ~ΜΕΠ ~~ΕΥ ~3~1~1~5~125~5~0
58~~1~Ροή Λογισμικού και Πληροφοριακών Συστημάτων (Χειμερινό Εξάμηνο) ~7,9~~Μοντελοποίηση και Προγραμματισμός Περιορισμών ~ΜΕΠ, ΜΑΔ ~~ΕΥ ~2~1~1~4~125~5~0
59~~1~Ροή Λογισμικού και Πληροφοριακών Συστημάτων (Χειμερινό Εξάμηνο) ~9~~Πληροφοριακά Συστήματα Διοίκησης ~ΜΕΠ, ΜΑΔ, ΜΓΓ ~~ΕΥ ~2~1~1~4~125~5~0
60~~1~Ροή Λογισμικού και Πληροφοριακών Συστημάτων (Χειμερινό Εξάμηνο) ~7,9~~Πληροφορική Υγείας ~ΜΕΠ, ΜΑΔ ~~ΕΥ ~2~~2~4~125~5~0
61~~1~Ροή Λογισμικού και Πληροφοριακών Συστημάτων (Χειμερινό Εξάμηνο) ~7,9~~Ποιότητα και Αξιοπιστία Λογισμικού ~ΜΕΠ, ΜΑΔ ~~ΕΥ ~2~1~1~4~125~5~0
